movie_id,movies,rank,movie_rating,rated,year,actors,genre,director,gross
tt0246894,      Rollerball,44,3.3,PG-13,2002,"Chris Klein, Jean Reno, LL Cool J","Action, Sci-Fi, Sport",John McTiernan,"$18,990,798"
tt0120207,      Steel,45,3.3,PG-13,1997,"Shaquille O'Neal, Annabeth Gish, Judd Nelson","Action, Adventure, Crime",Kenneth Johnson,"$1,710,972"
tt0810913,      Jack and Jill,46,3.3,PG,2011,"Adam Sandler, Katie Holmes, Al Pacino",Comedy,Dennis Dugan,"$74,158,157"
tt10350922,      Laxmii,47,3.4,TV-MA,2020,"Akshay Kumar, Kiara Advani, Sharad Kelkar","Action, Comedy, Horror","Lawrence Raghavendra, Balakrishnan Thevar",N/A
tt5690360,      Slender Man,48,3.4,PG-13,2018,"Joey King, Julia Goldani Telles, Jaz Sinclair","Horror, Mystery, Thriller",Sylvain White,"$30,569,484"
tt0327554,      Catwoman,49,3.4,PG-13,2004,"Halle Berry, Sharon Stone, Benjamin Bratt","Action, Crime, Fantasy",Pitof,"$40,202,379"
tt4877122,      The Emoji Movie,50,3.4,PG,2017,"T.J. Miller, James Corden, Anna Faris","Animation, Adventure, Comedy",Tony Leondis,"$86,089,513"
tt2403029,      The Starving Games,51,3.4,PG-13,2013,"Maiara Walsh, Brant Daugherty, Cody Christian","Comedy, Sci-Fi","Jason Friedberg, Aaron Seltzer",N/A
tt7608028,      The Open House,52,3.5,TV-MA,2018,"Dylan Minnette, Piercey Dalton, Patricia Bethune","Horror, Thriller","Matt Angel, Suzanne Coote",N/A
tt1666186,      Vampires Suck,53,3.5,PG-13,2010,"Jenn Proske, Matt Lanter, Diedrich Bader","Comedy, Horror","Jason Friedberg, Aaron Seltzer","$36,661,504"
tt0462244,      Daddy Day Camp,54,3.5,PG,2007,"Cuba Gooding Jr., Lochlyn Munro, Richard Gant","Comedy, Family",Fred Savage,"$13,235,267"
tt8366590,      Baaghi 3,55,3.5,Not Rated,2020,"Tiger Shroff, Riteish Deshmukh, Shraddha Kapoor","Action, Comedy, Musical",Ahmed Khan,"$721,439"
tt5013984,      Gully,56,3.5,R,2019,"Kelvin Harrison Jr., Jacob Latimore, Charlie Plummer","Crime, Drama",Nabil Elderkin,"$22,517"
tt0400426,      Far Cry,57,3.5,R,2008,"Til Schweiger, Emmanuelle Vaugier, Natalia Avelon","Action, Adventure, Sci-Fi",Uwe Boll,N/A
tt0118539,      3 Ninjas: High Noon at Mega Mountain,58,3.5,PG,1998,"Loni Anderson, Hulk Hogan, Jim Varney","Action, Adventure, Comedy",Sean McNamara,"$375,805"
tt0804452,      Bratz,59,3.5,PG,2007,"Skyler Shaye, Janel Parrish, Logan Browning","Comedy, Family, Music",Sean McNamara,"$10,010,209"
tt0115624,      Barb Wire,60,3.6,R,1996,"Pamela Anderson, Amir AboulEla, Adriana Alexander","Action, Sci-Fi",David Hogan,"$3,793,614"
tt0110978,      Texas Chainsaw Massacre: The Next Generation,61,3.6,R,1994,"Renée Zellweger, Matthew McConaughey, Robert Jacks","Comedy, Horror, Thriller",Kim Henkel,"$185,898"
tt0329028,      Dumb and Dumberer: When Harry Met Lloyd,62,3.6,PG-13,2003,"Derek Richardson, Eric Christian Olsen, Eugene Levy",Comedy,Troy Miller,"$26,276,465"
tt0065832,      Hercules in New York,63,3.6,G,1970,"Arnold Stang, Arnold Schwarzenegger, Deborah Loomis","Adventure, Comedy, Fantasy",Arthur Allan Seidelman,N/A
tt0295427,      The Master of Disguise,64,3.6,PG,2002,"Dana Carvey, Jennifer Esposito, Harold Gould","Adventure, Comedy, Family",Perry Andelin Blake,"$40,388,794"
tt0795461,      Scary Movie V,65,3.6,PG-13,2013,"Simon Rex, Ashley Tisdale, Charlie Sheen",Comedy,"Malcolm D. Lee, David Zucker","$32,015,787"
tt0295254,      Feardotcom,66,3.7,R,2002,"Stephen Dorff, Natascha McElhone, Stephen Rea","Crime, Horror, Thriller",William Malone,"$13,258,249"
tt1411664,      Bucky Larson: Born to Be a Star,67,3.7,R,2011,"Nick Swardson, Don Johnson, Christina Ricci",Comedy,Tom Brady,"$2,529,395"
tt9820556,      Breach,68,3.7,R,2020,"Cody Kearsley, Bruce Willis, Rachel Nichols","Action, Horror, Sci-Fi",John Suits,N/A
